;경력;학력;지역;임금;고용형태;근무형태;복리후생;기업명;업종;기업규모;설립년도;연매출액;홈페이지;근로자수
56;신입;대졸이상;부산광역시;3600;기간의정함이없는근로계약;주5일근무;기숙사제공차량유지비제공교육비제공식사제공(1식)자녀학자금지원주택자금지원직원대출제도;혜성정밀;주형및금형제조업;중소기업;2009;8,000백만원;www.hsmold.kr;41
57;신입;대졸이상;대구광역시;2900;기간의정함이없는근로계약;주5일근무;식사제공(3식);신생공업;금속단조,압형및분말야금제품제조업;중소기업;1976;28,552백만원;www.shinseng.co.kr;150
58;신입;대졸이상;광주광역시;2416;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);가온시스템;소프트웨어개발및공급업;중소기업;2012;1,104백만원;caon.kr;9
59;신입;대졸이상;경기도;2700;기간의정함이없는근로계약;주5일근무;교육비제공;제로원크리에이티브;응용소프트웨어개발및공급업;;0;;-;4
60;신입;대졸이상;경상북도;3000;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);포인드;컴퓨터프로그래밍서비스업;;0;;http://4ind.co.kr/;19
61;신입;대졸이상;서울특별시;4300;기간의정함이없는근로계약;주5일근무;차량유지비제공교육비제공식사제공(중식비지급);레어소프트;응용소프트웨어개발및공급업;중소기업;2011;;-;11
62;신입;학력무관;대구광역시;2800;기간의정함이없는근로계약;주5일근무;식사제공(1식);한올테크;산업용로봇제조업;중소기업;2014;2,500백만원;www.hanoltech.co.kr;8
63;신입;대졸이상;부산광역시;2760;기간의정함이없는근로계약;주5일근무;식사제공(1식);하이텍정보시스템;컴퓨터프로그래밍서비스업;;0;3,132백만원;www.hitecis.co.kr;9
64;신입;학력무관;경상남도;2544;기간의정함이없는근로계약;주5일근무;;프로소프트;응용소프트웨어개발및공급업;중소기업;0;435백만원;-;3
65;신입;대졸이상;서울특별시;2750;기간의정함이없는근로계약;주5일근무;기숙사제공차량유지비제공교육비제공식사제공(중식비지급);대영정보기술;컴퓨터시스템통합자문및구축서비스업;중소기업;2018;730백만원;-;4
66;신입;대졸이상;서울특별시;3720;기간의정함이없는근로계약;주5일근무;교육비제공자녀학자금지원;유건데이타;컴퓨터시스템통합자문및구축서비스업;중소기업;2014;2,000백만원;www.eugeondata.co.kr;9
67;신입;대졸이상;서울특별시;3000;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);지엠피아이티;컴퓨터프로그래밍서비스업;;0;3,000백만원;www.gmpit.co.kr/;25
68;신입;대졸이상;서울특별시;3000;기간의정함이없는근로계약;주5일근무;;스마트시티코리아;컴퓨터프로그래밍서비스업;중소기업;2015;1,720백만원;www.smartcitykorea.com;12
69;신입;대졸이상;충청북도;4000;기간의정함이없는근로계약;주5일근무;차량유지비제공교육비제공식사제공(중식비지급);선반도체;반도체제조용기계제조업;중소기업;2010;1,000백만원;www.sunsemico.com;4
70;신입;학력무관;경기도;3000;기간의정함이없는근로계약;주5일근무;차량유지비제공교육비제공식사제공(중식비지급);넷티어시스템즈;컴퓨터시스템통합자문및구축서비스업;중소기업;2003;25,670백만원;www.neteer.co.kr;37
71;신입;고졸이상;경상북도;3000;기간의정함이없는근로계약;주5일근무;식사제공(1식);에프에이데이타;컴퓨터프로그래밍서비스업;중소기업;2017;1,000백만원;www.fadata.co.kr;8
72;신입;학력무관;서울특별시;2800;기간의정함이없는근로계약;주5일근무;;시큐어레터;응용소프트웨어개발및공급업;중소기업;2016;3,708백만원;www.secureletter.co.kr/main/index.html;26
73;신입;고졸이상;경상북도;2900;기간의정함이없는근로계약;주5일근무;식사제공(1식);이니스텍;응용소프트웨어개발및공급업;중소기업;2014;2,300백만원;-;16
74;신입;학력무관;전라남도;2640;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);우진피알티;철도여객운송업;중소기업;2021;3,000백만원;-;31
75;신입;대졸이상;세종특별자치시;2820;기간의정함이없는근로계약;주5일근무;;인아이티;컴퓨터프로그래밍서비스업;;0;900백만원;www.initgroup.kr;24
76;신입;학력무관;대전광역시;2900;기간의정함이없는근로계약;주5일근무;교육비제공식사제공(중식비지급);퍼스트알앤디;응용소프트웨어개발및공급업;중소기업;2019;1,000백만원;www.frd.co.kr;17
77;신입;대졸이상;광주광역시;3000;기간의정함이없는근로계약;주5일근무;;지아이랩;응용소프트웨어개발및공급업;;0;;-;9
78;신입;대졸이상;경기도;3000;기간의정함이없는근로계약;주5일근무;기숙사제공교육비제공식사제공(1식);아이에스엘;컴퓨터시스템통합자문및구축서비스업;중소기업;0;2,045백만원;www.ilshininfo.net;11
79;신입;학력무관;서울특별시;3000;기간의정함이없는근로계약;주5일근무;;모움;광고대행업;중소기업;2020;;-;4
80;신입;학력무관;경기도;3000;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);알에이디;전자상거래소매업;중소기업;2018;2,000백만원;www.raraaqua.co.kr;14
81;신입;대졸이상;전라남도;3250;기간의정함이없는근로계약;주5일근무;차량유지비제공교육비제공식사제공(1식);제이엠엘이디;일반용전기조명장치제조업;중소기업;2018;600백만원;-;5
82;신입;대졸이상;전라북도;3048;기간의정함이없는근로계약;주5일근무;;아이스트;방사선장치제조업;중소기업;2019;;www.aisttech.co.kr;4
83;신입;대졸이상;서울특별시;2750;기간의정함이있는근로계약;주5일근무;교육비제공;에스아이피솔루션;컴퓨터시스템통합자문및구축서비스업;;0;;-;2
84;신입;대졸이상;경기도;3180;기간의정함이있는근로계약;주5일근무;;데이터메티카;전자상거래소매업;중소기업;2020;624백만원;www.datamatica.kr;9
85;신입;대졸이상;경기도;3180;기간의정함이있는근로계약;주5일근무;;데이터메티카;전자상거래소매업;중소기업;2020;624백만원;www.datamatica.kr;9
86;신입;학력무관;경기도;2850;기간의정함이없는근로계약;주5일근무;기숙사제공;오피씨소프트;기타엔지니어링서비스업;중소기업;2014;;-;10
87;신입;고졸이상;전라남도;2640;기간의정함이있는근로계약;주5일근무;;에스디테크;시스템소프트웨어개발및공급업;중소기업;2017;;sd-tech.kr;20
88;신입;대졸이상;전라남도;2850;기간의정함이없는근로계약;주5일근무;;테라에너지;시스템소프트웨어개발및공급업;중소기업;2019;50,000백만원;http://www.teraenergy.co.kr;58
89;신입;학력무관;서울특별시;3000;기간의정함이없는근로계약;주5일근무;식사제공(3식);에이스프로젝트;기타게임소프트웨어개발및공급업;중소기업;2011;;www.aceproject.co.kr;45
