;경력;학력;지역;임금;고용형태;근무형태;복리후생;기업명;업종;기업규모;설립년도;연매출액;홈페이지;근로자수
0;3.0;대졸이상;서울특별시;4000;기간의정함이없는근로계약;주5일근무;차량유지비제공식사제공(중식비지급);에이치원시스템;컴퓨터및주변장치,소프트웨어소매업;중소기업;2003;1,400백만원;www.h1system.com;5
1;3.0;대졸이상;경상북도;5100;기간의정함이없는근로계약;주5일근무;기숙사제공식사제공(1식)자녀학자금지원직원대출제도;피엔티;그외기타특수목적용기계제조업;중견기업;2003;312,614백만원;www.epnt.co.kr;450
2;5.0;학력무관;서울특별시;3600;기간의정함이없는근로계약;주5일근무;;엠큐뷔;컴퓨터프로그래밍서비스업;중소기업;0;;-;6
3;3.0;대졸이상;경기도;5500;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);에스퓨얼셀;기타발전업;중소기업;2014;31,492백만원;www.s-fuelcell.com/;60
4;5.0;학력무관;경상남도;4000;기간의정함이없는근로계약;주5일근무;;스마트솔루션;컴퓨터프로그래밍서비스업;중소기업;2022;;smart-s.co.kr;12
5;5.0;학력무관;경상북도;5400;기간의정함이없는근로계약;주5일근무;기숙사제공식사제공(1식);브이엔에스;디스플레이제조용기계제조업;중소기업;0;3,100백만원;vnseng.co.kr;25
6;5.0;학력무관;경기도;6000;기간의정함이없는근로계약;주5일근무;통근버스제공;위트콘;비디오및기타영상기기제조업;중소기업;2019;2,000백만원;www.witconintl.com;11
7;3.0;대졸이상;대구광역시;3500;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급)자녀학자금지원;위저드정보시스템;소프트웨어개발및공급업;중소기업;0;3,000백만원;www.wizis.co.kr;16
8;5.0;대졸이상;부산광역시;4500;기간의정함이없는근로계약;주5일근무;식사제공(1식);썬소프트;응용소프트웨어개발및공급업;중소기업;0;;www.sunsoft.kr;7
9;3.0;대졸이상;경기도;4500;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);하이디스플레이;기타주변기기제조업;중소기업;2013;1,637백만원;www.hidisplay.co.kr/;8
10;3.0;학력무관;서울특별시;4000;기간의정함이없는근로계약;주5일근무;기숙사제공교육비제공식사제공(중식비지급);(유)동방이노베이션;컴퓨터시스템통합자문및구축서비스업;중소기업;2005;10,000백만원;www.dbit.kr;61
11;3.0;학력무관;서울특별시;3096;기간의정함이있는근로계약;주5일근무;교육비제공식사제공(2식);법틀;컴퓨터프로그래밍서비스업;중소기업;2017;;www.buptle.com;19
12;3.0;대졸이상;경기도;5500;기간의정함이없는근로계약;주5일근무;식사제공(1식);세이프소프트;컴퓨터프로그래밍서비스업;중소기업;2017;3,000백만원;safesoft.co.kr;33
13;3.0;학력무관;충청남도;3100;기간의정함이없는근로계약;주5일근무;기숙사제공차량유지비제공;유니원시스템;컴퓨터시스템통합자문및구축서비스업;중소기업;2010;2,923백만원;unionesystem.co.kr;24
14;5.0;대졸이상;서울특별시;3400;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);포스텍네트웍스;전시및광고용조명장치제조업;중소기업;2012;;www.postechnetworks.co.kr;24
15;3.0;학력무관;서울특별시;3500;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);셀빅;기타게임소프트웨어개발및공급업;;0;8,590백만원;www.cellbig.com;57
16;3.0;대졸이상;대구광역시;3900;기간의정함이없는근로계약;주5일근무;차량유지비제공식사제공(1식);영인이엔지;그외기타금속가공업;중소기업;2004;;-;36
17;3.0;대졸이상;인천광역시;3012;기간의정함이있는근로계약;주5일근무;;더좋은운동으로;그외기타스포츠서비스업;중소기업;2018;;www.tboxfit.com;10
18;3.0;학력무관;대구광역시;3600;기간의정함이없는근로계약;주5일근무;기숙사제공식사제공(2식);인터불고엑스코;호텔업;중소기업;2020;;-;130
19;3.0;학력무관;서울특별시;3400;기간의정함이없는근로계약;주5일근무;;단비코리아;전기ㆍ전자공학연구개발업;중소기업;2015;200백만원;www.danbicorp.com;7
20;3.0;대졸이상;전라남도;3750;기간의정함이없는근로계약;주5일근무;;바자울정보기술;시스템소프트웨어개발및공급업;중소기업;0;;www.vajaul.co.kr;26
21;3.0;학력무관;경상남도;4800;기간의정함이없는근로계약;주5일근무;차량유지비제공식사제공(1식)직원대출제도;아토텍;기타측정,시험,항해,제어및정밀기기제조업;중소기업;2006;3,500백만원;www.attotech.co.kr;7
22;3.0;학력무관;서울특별시;2800;기간의정함이있는근로계약;주5일근무;;더크림유니언;응용소프트웨어개발및공급업;중소기업;2004;;https://www.crea-m.com/;72
23;3.0;학력무관;서울특별시;2800;기간의정함이있는근로계약;주5일근무;;더크림유니언;응용소프트웨어개발및공급업;중소기업;2004;;https://www.crea-m.com/;72
24;5.0;대졸이상;강원특별자치도;4250;기간의정함이없는근로계약;주5일근무;;디노비즈;컴퓨터시스템통합자문및구축서비스업;중소기업;2011;;denobiz.com;7
25;3.0;대졸이상;서울특별시;4800;기간의정함이없는근로계약;주5일근무;;하이퍼테크;시스템소프트웨어개발및공급업;중소기업;0;5,000백만원;www.xrp.kr;80
26;3.0;학력무관;서울특별시;6250;기간의정함이없는근로계약;주5일근무;교육비제공식사제공(1식)자녀학자금지원직원대출제도;소프트넷;시스템ㆍ응용소프트웨어개발및공급업;중소기업;1998;7,298백만원;www.softnet.co.kr;80
27;5.0;대졸이상;서울특별시;4850;기간의정함이없는근로계약;주5일근무;교육비제공;다이몬소프트;컴퓨터프로그래밍서비스업;중소기업;2019;800백만원;www.transhub.co.kr;4
28;5.0;학력무관;경기도;6000;기간의정함이없는근로계약;주5일근무;식사제공(1식);새론솔루션;응용소프트웨어개발및공급업;중소기업;2021;;https://www.newsolution.co.kr;8
29;5.0;대졸이상;경상남도;5000;기간의정함이없는근로계약;주5일근무;식사제공(1식);ISL계기(유);배전반및전기자동제어반제조업;중소기업;0;3,500백만원;www.eisl.co.kr;13
30;5.0;학력무관;서울특별시;2800;기간의정함이없는근로계약;주5일근무;;데브릭스;컴퓨터시스템통합자문및구축서비스업;;0;;-;18
31;5.0;학력무관;광주광역시;3468;기간의정함이있는근로계약;주5일근무;;광은비지니스㈜;경비및경호서비스업;중소기업;1993;;-;265
32;5.0;대졸이상;서울특별시;4000;기간의정함이없는근로계약;주5일근무;;델타엑스;응용소프트웨어개발및공급업;중소기업;2020;;-;55
33;3.0;대졸이상;대전광역시;3500;기간의정함이없는근로계약;주5일근무;차량유지비제공교육비제공자녀학자금지원;블루오션정보통신;컴퓨터시스템통합자문및구축서비스업;중소기업;2017;;www.boif.co.kr;9
34;5.1;학력무관;경상북도;6600;기간의정함이없는근로계약;주5일근무;식사제공(2식);케이전트;데이터베이스및온라인정보제공업;;0;;-;2
35;3.0;대졸이상;제주특별자치도;2500;기간의정함이없는근로계약;주5일근무;통근버스제공교육비제공식사제공(1식);나눔에너지;일반전기공사업;중소기업;2016;9,354백만원;www.nanoomenergy.com;27
36;5.0;학력무관;부산광역시;5000;기간의정함이없는근로계약;주5일근무;;무스마;응용소프트웨어개발및공급업;중소기업;2017;1,910백만원;www.musma.net;40
37;8.0;대졸이상;경기도;6000;기간의정함이있는근로계약;주5일근무;식사제공(중식비지급);투엔포맨유한회사;컴퓨터시스템통합자문및구축서비스업;중소기업;2021;100백만원;www.2n4m.net;2
38;3.0;대졸이상;대전광역시;3900;기간의정함이없는근로계약;주5일근무;;꿀비;컴퓨터시스템통합자문및구축서비스업;중소기업;2015;815백만원;ggulb.net;23
39;3.0;대졸이상;대전광역시;4500;기간의정함이없는근로계약;주5일근무;;꿀비;컴퓨터시스템통합자문및구축서비스업;중소기업;2015;815백만원;ggulb.net;23
40;3.0;학력무관;서울특별시;4000;기간의정함이없는근로계약;주5일근무;;케이브레인컴퍼니;경영컨설팅업;중소기업;2010;19,477백만원;www.kbrainc.com;85
41;3.0;대졸이상;경기도;3000;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);에리;컴퓨터시스템통합자문및구축서비스업;중소기업;2021;;-;6
42;3.0;학력무관;경기도;4000;기간의정함이있는근로계약;주5일근무;차량유지비제공교육비제공식사제공(중식비지급);거룡아이티;소프트웨어개발및공급업;중소기업;0;2,100백만원;grit.co.kr;13
43;3.0;학력무관;경기도;3300;기간의정함이있는근로계약;주5일근무;식사제공(중식비지급);텐더포레스트;컴퓨터시스템통합자문및구축서비스업;;0;;-;0
44;5.0;학력무관;서울특별시;4000;기간의정함이없는근로계약;주5일근무;교육비제공;아이하트;응용소프트웨어개발및공급업;중소기업;2000;;www.i-heart.kr;26
