;경력;학력;지역;임금;고용형태;근무형태;복리후생;기업명;업종;기업규모;설립년도;연매출액;홈페이지;근로자수
79;5.0;대졸이상;대전광역시;5500;기간의정함이없는근로계약;주5일근무;차량유지비제공교육비제공;휘스커;응용소프트웨어개발및공급업;중소기업;2019;600백만원;www.whisker.kr;33
80;4.0;고졸이상;전라북도;3500;기간의정함이없는근로계약;주5일근무;;나인이즈;컴퓨터프로그래밍서비스업;중소기업;2010;;www.9is.kr;25
81;5.1;대졸이상;경기도;4750;기간의정함이없는근로계약;주5일근무;식사제공(2식);유비테크;그외기타분류안된금속가공제품제조업;중소기업;2018;1,000백만원;-;7
82;3.0;대졸이상;부산광역시;3900;기간의정함이없는근로계약;주5일근무;;더웰;컴퓨터프로그래밍서비스업;;0;;-;7
83;10.0;고졸이상;경기도;4200;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);성림테크;주형및금형제조업;중소기업;2015;3,800백만원;-;28
84;3.0;학력무관;전라북도;3420;기간의정함이없는근로계약;주5일근무;차량유지비제공;첫눈;일반통신공사업;중소기업;2011;;www.1stnoon.co.kr;20
85;3.0;고졸이상;서울특별시;2800;기간의정함이없는근로계약;주5일근무;자녀학자금지원;쓰리에이치에스;소프트웨어개발및공급업;중소기업;2006;;-;21
86;3.0;대졸이상;경기도;3000;기간의정함이있는근로계약;주5일근무;식사제공(1식);에어패스;그외기타정보서비스업;중소기업;2001;;www.airpass.co.kr;148
87;4.0;학력무관;경상남도;3500;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);와이제이솔루션;응용소프트웨어개발및공급업;중소기업;2019;;-;7
88;3.0;학력무관;인천광역시;3750;기간의정함이없는근로계약;주5일근무;식사제공(1식);왜트에너지테크;배관및냉ㆍ난방장치도매업;중소기업;2020;;-;5
89;3.0;대졸이상;서울특별시;4800;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);뉴로라인즈;데이터베이스및온라인정보제공업;중소기업;0;510백만원;www.neurolines.net;8
90;10.0;대졸이상;경기도;5000;기간의정함이없는근로계약;주5일근무;;필로포스;기타광학기기제조업;중소기업;2018;;www.philophos.com;13
91;5.0;대졸이상;대구광역시;4500;기간의정함이없는근로계약;주5일근무;차량유지비제공교육비제공식사제공(1식);해솔정보기술;컴퓨터프로그래밍서비스업;중소기업;2015;;-;14
92;4.0;대졸이상;서울특별시;6000;기간의정함이없는근로계약;주5일근무;;상원소프트;컴퓨터프로그래밍서비스업;중소기업;2005;750백만원;-;30
93;3.0;학력무관;서울특별시;4800;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);딥세일즈;응용소프트웨어개발및공급업;중소기업;2021;1,177백만원;http://deepsales.com/+;13
94;5.0;대졸이상;대구광역시;6000;기간의정함이없는근로계약;주5일근무;차량유지비제공교육비제공식사제공(중식비지급)자녀학자금지원;대성홀딩스;컴퓨터프로그래밍서비스업;;0;50,912백만원;www.daesung-holdings.com;20
95;5.0;학력무관;경기도;2080;기간의정함이없는근로계약;주5일근무;차량유지비제공;지오엔지스;컴퓨터시스템통합자문및구축서비스업;중소기업;2011;;www.gongs.co.kr;14
96;5.0;대졸이상;부산광역시;5000;기간의정함이있는근로계약;주5일근무;;이루리;기타정보기술및컴퓨터운영관련서비스업;중소기업;2017;;yiruri.com;5
97;3.0;학력무관;서울특별시;3950;기간의정함이없는근로계약;주5일근무;교육비제공;채널5코리아;포털및기타인터넷정보매개서비스업;중소기업;2010;;www.e4ds.com;18
98;3.0;학력무관;경기도;3000;기간의정함이있는근로계약;주5일근무;;와이덴케어;응용소프트웨어개발및공급업;중소기업;2023;;www.blancbyme.com;3
99;3.0;학력무관;서울특별시;4000;기간의정함이없는근로계약;주5일근무;교육비제공;씨드앤;그외기타전기장비제조업;중소기업;2015;;www.seedn.co.kr;28
100;3.0;학력무관;전라북도;4250;기간의정함이없는근로계약;주5일근무;;우리요;컴퓨터프로그래밍서비스업;중소기업;2013;780백만원;wooriyo.com;7
101;3.0;학력무관;서울특별시;4800;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);다녕;전자상거래소매중개업;;0;;www.danhobakmall.com;4
102;3.0;대졸이상;서울특별시;3780;기간의정함이없는근로계약;주5일근무;;렌쥴리에듀테인먼트;교육서비스업;중소기업;2015;;http://www.renzulli.co.kr/;22
103;3.0;대졸이상;대구광역시;6950;기간의정함이있는근로계약;주5일근무;식사제공(중식비지급);엑스큐브;컴퓨터시스템통합자문및구축서비스업;중소기업;2021;920백만원;www.x-cube.co.kr;14
104;8.0;학력무관;서울특별시;6000;기간의정함이없는근로계약;주5일근무;;웨이브피아;사업시설유지ㆍ관리서비스업;중소기업;2005;2,730백만원;www.wavepia.go.kr;18
105;3.0;대졸이상;부산광역시;4500;기간의정함이없는근로계약;주5일근무;;정유니브;시스템소프트웨어개발및공급업;중소기업;2004;690백만원;www.junguniv.com;9
106;3.0;고졸이상;부산광역시;3500;기간의정함이없는근로계약;주5일근무;;정유니브;시스템소프트웨어개발및공급업;중소기업;2004;690백만원;www.junguniv.com;9
107;3.0;학력무관;경기도;5750;기간의정함이없는근로계약;주5일근무;식사제공(2식);일렉트리;전기회로개폐,보호장치제조업;중소기업;2022;;-;15
108;3.0;대졸이상;경기도;3400;기간의정함이없는근로계약;주5일근무;식사제공(1식);금호이앤지;그외기타전기장비제조업;;0;;www.escokh.com;32
109;3.0;대졸이상;경기도;2800;기간의정함이없는근로계약;주5일근무;식사제공(1식);금호이앤지;그외기타전기장비제조업;;0;;www.escokh.com;32
110;10.0;대졸이상;서울특별시;7500;기간의정함이없는근로계약;주5일근무;;피에스알미디어;응용소프트웨어개발및공급업;중소기업;2013;2,144백만원;piclick.me;12
111;3.0;대졸이상;경기도;4800;기간의정함이있는근로계약;주5일근무;식사제공(중식비지급);나물소프트;시스템소프트웨어개발및공급업;중소기업;2020;;www.namulsoft.com;9
112;5.0;학력무관;경상북도;4100;기간의정함이있는근로계약;주5일근무;식사제공(1식);농업회사법인두손애약초;건강기능식품제조업;중소기업;2015;10,000백만원;-;28
113;3.0;대졸이상;서울특별시;2640;기간의정함이없는근로계약;주5일근무;교육비제공;메이어스;시스템ㆍ응용소프트웨어개발및공급업;중소기업;2011;8,070백만원;-;52
114;5.0;학력무관;경상북도;4800;기간의정함이없는근로계약;주5일근무;식사제공(1식);에이에스에프;그외기타특수목적용기계제조업;중소기업;2019;2,500백만원;http:www.asfeng.co.kr;5
115;3.5;대졸이상;서울특별시;5000;기간의정함이없는근로계약;주5일근무;;디케이에코팜;농업및임업용기계제조업;중소기업;2016;;www.dkecofarm.com;17
116;3.0;학력무관;경상북도;3600;기간의정함이없는근로계약;주5일근무;;대신네트웍스;통신ㆍ방송장비및부품도매업;중소기업;0;5,300백만원;www.dsnw.net;25
117;3.0;대졸이상;서울특별시;3650;기간의정함이없는근로계약;주5일근무;;위더스21;시스템소프트웨어개발및공급업;중소기업;2001;1,500백만원;www.withus21.co.kr;10
118;5.0;학력무관;경기도;6000;기간의정함이없는근로계약;주5일근무;식사제공(1식);앤티엘;전자기측정,시험및분석기구제조업;중소기업;2022;;-;5
119;3.0;학력무관;서울특별시;2640;기간의정함이없는근로계약;주5일근무;;링거스튜디오;그외기타정보서비스업;중소기업;2021;120백만원;-;9
120;3.0;학력무관;전라북도;5000;기간의정함이없는근로계약;주5일근무;;우리요;컴퓨터프로그래밍서비스업;중소기업;2013;780백만원;wooriyo.com;7
121;3.0;학력무관;경기도;3840;기간의정함이없는근로계약;주5일근무;식사제공(1식);케이엔피;전자부품제조업;중소기업;2016;1,500백만원;-;4
122;3.0;학력무관;대전광역시;2820;기간의정함이없는근로계약;주5일근무;식사제공(1식);아해바;치과용기기제조업;중소기업;2022;300백만원;-;5
123;5.0;학력무관;경기도;4750;기간의정함이없는근로계약;주5일근무;차량유지비제공교육비제공식사제공(중식비지급);제일;컴퓨터프로그래밍서비스업;중소기업;2021;700백만원;-;4
